rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad
141,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,0.995,3.180027898,3.5797,120.3,1.53,1458,5847,4.191,1.402
142,5436502,K00834.05,Kepler-238 f,CONFIRMED,CANDIDATE,0.989,50.4467417,7.159,370.3,2.67,568,5739,4.191,1.384
143,5456651,K00835.01,Kepler-239 b,CONFIRMED,CANDIDATE,1,11.76307164,2.9076,1037.3,2.35,616,4959,4.603,0.756
144,5456651,K00835.02,Kepler-239 c,CONFIRMED,CANDIDATE,0.878,56.2279271,3.57,862.7,2.37,366,4959,4.603,0.756
145,5481416,K00836.01,,FALSE POSITIVE,FALSE POSITIVE,0,2.384052875,3.0918,1268.1,17.06,1010,4794,4.58,0.701
146,5531576,K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,1,7.953547,2.6312,875.4,2.25,696,4768,4.536,0.779
147,5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,1,4.14451656,2.3421,391.8,1.48,864,4768,4.536,0.779
148,5534814,K00838.01,,FALSE POSITIVE,FALSE POSITIVE,0,4.859386384,2.2757,6044.3,38.33,1114,6072,4.47,0.988
149,6291653,K00850.01,Kepler-702 b,CONFIRMED,CANDIDATE,0.999,10.52629458,2.5211,9768,8.24,713,5386,4.553,0.793
150,6392727,K00851.01,Kepler-703 b,CONFIRMED,CANDIDATE,1,4.583520948,2.7055,3812.1,5.39,1038,5815,4.54,0.877
151,6422070,K00852.01,Kepler-704 b,CONFIRMED,CANDIDATE,0.876,3.76181843,3.5176,510.6,2.66,1121,5653,4.472,0.949
152,6428700,K00853.01,Kepler-242 b,CONFIRMED,CANDIDATE,1,8.20396958,2.9667,1024.4,3.01,742,5015,4.499,0.826
153,6428700,K00853.02,Kepler-242 c,CONFIRMED,CANDIDATE,1,14.49645186,4.016,647.5,3.01,613,5015,4.499,0.826
154,5792202,K00841.03,,CANDIDATE,CANDIDATE,1,6.54626149,2.75,655.9,2.19,810,5251,4.581,0.817
155,5794379,K00842.01,Kepler-241 b,CONFIRMED,CANDIDATE,1,12.71809866,3.0957,1149.4,2.31,562,4702,4.592,0.686
156,5794379,K00842.02,Kepler-241 c,CONFIRMED,CANDIDATE,0.999,36.06588163,4.3246,1563.8,2.64,397,4702,4.592,0.686
157,5881688,K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,1,4.190425659,2.8589,2877.4,6.21,1234,6073,4.392,1.135
158,6022556,K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,1,3.709870784,3.0694,2020.3,4.35,1151,5727,4.463,0.978
